family,tag,n,idx,decoder,method,dim,budget,f_opt,srate,nr,mean_gap,median_best,median_ftt
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,1.0,0.01082,0.0,-11556,3246
knapsack,uncorrelated,30,0,penalty,ga,30,300000,-11556,1.0,0.0059,0.0,-11556,1770
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,1.0,0.06034,0.0,-11556,18101
knapsack,uncorrelated,30,0,penalty,mbpso,30,300000,-11556,1.0,0.05108,0.0,-11556,15324
knapsack,uncorrelated,30,0,penalty,bpso,30,300000,-11556,1.0,0.1868,0.0,-11556,56040
knapsack,uncorrelated,30,0,penalty,mbde,30,300000,-11556,0.4516,0.00947,0.010407,-11496,2840.0
knapsack,uncorrelated,30,0,penalty,bde,30,300000,-11556,0.6774,0.0774,0.007556,-11556,23220
knapsack,uncorrelated,30,1,penalty,floor,30,300000,-11046,0.4194,0.51375,0.006834,-10916,154126
knapsack,uncorrelated,30,1,penalty,mga,30,300000,-11046,0.9677,0.00658,0.00038,-11046,1973.5
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,1.0,0.02003,0.0,-11046,6010
knapsack,uncorrelated,30,0,penalty,floor,30,300000,-11556,0.5161,0.27364,0.004835,-11556,82090.5
knapsack,uncorrelated,30,1,penalty,bpso,30,300000,-11046,0.8387,0.11205,0.001898,-11046,33615.0
knapsack,uncorrelated,30,1,penalty,mbpso,30,300000,-11046,1.0,0.01014,0.0,-11046,3043
knapsack,uncorrelated,30,1,penalty,bde,30,300000,-11046,0.4839,0.0069,0.008796,-10916,2070
knapsack,uncorrelated,30,1,penalty,ga,30,300000,-11046,1.0,0.0064,0.0,-11046,1920
knapsack,uncorrelated,30,1,penalty,mbde,30,300000,-11046,0.6129,0.00591,0.008209,-11046,1773
knapsack,uncorrelated,30,2,penalty,ga,30,300000,-12472,1.0,0.0104,0.0,-12472,3120
knapsack,uncorrelated,30,2,penalty,mga,30,300000,-12472,0.9032,0.03229,0.000419,-12472,9685.5
knapsack,uncorrelated,30,2,penalty,bpso,30,300000,-12472,0.7097,0.15095,0.001257,-12472,45285.0
knapsack,uncorrelated,30,2,penalty,ils,30,300000,-12472,0.6774,0.12409,0.001397,-12472,37228
knapsack,uncorrelated,30,2,penalty,floor,30,300000,-12472,0.2581,0.71064,0.015632,-12271,213192.0
