family,tag,n,idx,decoder,method,dim,budget,f_opt,exact,seed,best,ftt,fes
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,0,-7981,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,1,-7969,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,2,-8050,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,3,-7983,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,4,-7968,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,5,-8079,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,6,-8002,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,7,-7983,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,8,-7973,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,9,-7975,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,10,-7982,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,11,-8044,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,12,-7978,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,13,-7982,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,14,-8083,14825,14825
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,15,-7959,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,16,-7983,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,17,-7936,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,18,-7983,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,19,-7974,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,20,-8043,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,21,-8053,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,22,-7983,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,23,-8015,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,24,-7981,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,25,-8066,,300000
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,True,26,-7969,,300000
