family,tag,n,idx,decoder,method,dim,budget,f_opt,srate,nr,mean_gap,median_best,median_ftt
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,1.0,0.02003,0.0,-11046,6010
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,1.0,0.06034,0.0,-11556,18101
knapsack,uncorrelated,30,3,penalty,ils,30,300000,-12061,1.0,0.06984,0.0,-12061,20953
knapsack,uncorrelated,30,4,penalty,ils,30,300000,-11877,0.9677,0.13199,8.4e-05,-11877,39597.0
knapsack,uncorrelated,30,2,penalty,ils,30,300000,-12472,0.6774,0.12409,0.001397,-12472,37228
knapsack,uncorrelated,30,0,penalty,floor,30,300000,-11556,0.5161,0.27364,0.004835,-11556,82090.5
knapsack,uncorrelated,30,1,penalty,floor,30,300000,-11046,0.4194,0.51375,0.006834,-10916,154126
knapsack,uncorrelated,30,2,penalty,floor,30,300000,-12472,0.2581,0.71064,0.015632,-12271,213192.0
knapsack,uncorrelated,30,3,penalty,floor,30,300000,-12061,0.1935,0.70607,0.010129,-11984,211819.5
knapsack,uncorrelated,30,4,penalty,floor,30,300000,-11877,0.0,inf,0.017768,-11662,
knapsack,strongly,30,0,penalty,ils,30,300000,-8083,0.9677,0.02477,1.6e-05,-8083,7432.5
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,0.0323,0.04942,0.01042,-7983,14825
knapsack,uncorrelated,50,3,penalty,ils,50,500000,-19627,0.4516,0.54387,0.001246,-19597,271935.0
knapsack,uncorrelated,50,4,penalty,ils,50,500000,-20974,0.3548,0.63532,0.002369,-20927,317659
knapsack,strongly,30,1,penalty,floor,30,300000,-8991,0.0,inf,0.011115,-8888,
knapsack,uncorrelated,50,1,penalty,ils,50,500000,-21287,0.1613,0.85167,0.002285,-21274,425835
knapsack,uncorrelated,50,1,penalty,floor,50,500000,-21287,0.0,inf,0.041369,-20392,
knapsack,uncorrelated,50,4,penalty,floor,50,500000,-20974,0.0,inf,0.031111,-20351,
knapsack,uncorrelated,50,0,penalty,floor,50,500000,-18961,0.0,inf,0.030145,-18422,
knapsack,uncorrelated,50,3,penalty,floor,50,500000,-19627,0.0,inf,0.057667,-18528,
knapsack,uncorrelated,50,2,penalty,floor,50,500000,-18831,0.0,inf,0.042978,-18008,
knapsack,uncorrelated,50,0,penalty,ils,50,500000,-18961,0.0323,0.27788,0.001973,-18940,138942
knapsack,uncorrelated,50,2,penalty,ils,50,500000,-18831,0.0,inf,0.005122,-18720,
knapsack,strongly,30,1,penalty,ils,30,300000,-8991,0.4839,0.16212,0.000832,-8989,48635
knapsack,strongly,30,2,penalty,ils,30,300000,-8236,0.7419,0.20344,0.000157,-8236,61031
knapsack,strongly,30,4,penalty,ils,30,300000,-10913,0.7742,0.11299,0.000343,-10913,33897.5
knapsack,strongly,30,2,penalty,floor,30,300000,-8236,0.0,inf,0.017974,-8102,
knapsack,strongly,30,3,penalty,floor,30,300000,-10407,0.0,inf,0.010136,-10305,
knapsack,strongly,30,3,penalty,ils,30,300000,-10407,0.1613,0.13701,0.007901,-10309,41104
knapsack,strongly,30,4,penalty,floor,30,300000,-10913,0.0,inf,0.005575,-10838,
knapsack,strongly,50,4,penalty,ils,50,500000,-17847,0.8387,0.23967,0.000188,-17847,119833.0
knapsack,strongly,50,3,penalty,ils,50,500000,-16824,0.6129,0.30081,0.001166,-16824,150403
knapsack,strongly,50,1,penalty,ils,50,500000,-16379,0.4516,0.52891,0.002773,-16378,264455.5
knapsack,uncorrelated,80,2,penalty,ils,80,800000,-32328,0.4839,0.54799,0.002167,-32251,438389
knapsack,strongly,50,0,penalty,floor,50,500000,-16940,0.0,inf,0.022209,-16539,
knapsack,strongly,50,0,penalty,ils,50,500000,-16940,0.0645,0.40498,0.002929,-16915,202492.5
knapsack,strongly,50,1,penalty,floor,50,500000,-16379,0.0,inf,0.013513,-16168,
knapsack,strongly,50,2,penalty,floor,50,500000,-16778,0.0,inf,0.018951,-16468,
knapsack,strongly,50,2,penalty,ils,50,500000,-16778,0.0,inf,0.005608,-16678,
knapsack,strongly,50,3,penalty,floor,50,500000,-16824,0.0,inf,0.015792,-16524,
knapsack,uncorrelated,80,1,penalty,ils,80,800000,-32981,0.3548,0.58875,0.002836,-32850,470997
knapsack,strongly,50,4,penalty,floor,50,500000,-17847,0.0,inf,0.015965,-17545,
knapsack,uncorrelated,80,1,penalty,floor,80,800000,-32981,0.0,inf,0.096145,-29850,
knapsack,uncorrelated,80,0,penalty,floor,80,800000,-35386,0.0,inf,0.084205,-32496,
knapsack,uncorrelated,80,3,penalty,floor,80,800000,-32404,0.0,inf,0.090506,-29468,
knapsack,uncorrelated,80,2,penalty,floor,80,800000,-32328,0.0,inf,0.088341,-29464,
knapsack,uncorrelated,80,4,penalty,floor,80,800000,-34121,0.0,inf,0.090198,-31006,
knapsack,uncorrelated,80,3,penalty,ils,80,800000,-32404,0.0,inf,0.005377,-32238,
knapsack,uncorrelated,80,4,penalty,ils,80,800000,-34121,0.0,inf,0.007541,-33851,
knapsack,uncorrelated,80,0,penalty,ils,80,800000,-35386,0.0,inf,0.003876,-35252,
knapsack,inverse,30,0,penalty,ils,30,300000,-9094,0.4516,0.34915,0.001979,-9091,104746.5
knapsack,inverse,30,0,penalty,floor,30,300000,-9094,0.0,inf,0.012089,-8987,
knapsack,inverse,30,1,penalty,ils,30,300000,-7107,0.6129,0.29103,0.002174,-7107,87309
knapsack,inverse,30,1,penalty,floor,30,300000,-7107,0.0,inf,0.014198,-7011,
knapsack,strongly,80,0,penalty,ils,80,800000,-24176,0.4194,0.3755,0.000693,-24175,300396
knapsack,inverse,30,2,penalty,ils,30,300000,-8757,0.8387,0.15519,1.8e-05,-8757,46558.5
knapsack,inverse,30,2,penalty,floor,30,300000,-8757,0.0645,0.48557,0.00648,-8709,145671.5
knapsack,strongly,80,0,penalty,floor,80,800000,-24176,0.0,inf,0.033131,-23368,
knapsack,inverse,30,3,penalty,ils,30,300000,-9053,0.3548,0.48327,0.004803,-9042,144982
knapsack,inverse,30,3,penalty,floor,30,300000,-9053,0.0,inf,0.010847,-8953,
knapsack,inverse,30,4,penalty,ils,30,300000,-7385,0.4194,0.42107,0.004949,-7321,126320
knapsack,inverse,30,4,penalty,floor,30,300000,-7385,0.0,inf,0.018918,-7220,
knapsack,strongly,80,1,penalty,floor,80,800000,-26770,0.0,inf,0.024066,-26070,
knapsack,strongly,80,4,penalty,ils,80,800000,-26036,0.3871,0.49905,0.001868,-26033,399241.0
knapsack,strongly,80,2,penalty,floor,80,800000,-25888,0.0,inf,0.029716,-25088,
knapsack,strongly,80,1,penalty,ils,80,800000,-26770,0.1935,0.76486,0.002546,-26670,611889.5
knapsack,strongly,80,3,penalty,ils,80,800000,-24517,0.2258,0.48695,0.001879,-24515,389556
knapsack,strongly,80,3,penalty,floor,80,800000,-24517,0.0,inf,0.034221,-23694,
knapsack,strongly,80,2,penalty,ils,80,800000,-25888,0.0323,0.90736,0.003746,-25788,725889
knapsack,strongly,80,4,penalty,floor,80,800000,-26036,0.0,inf,0.026271,-25334,
knapsack,inverse,50,0,penalty,ils,50,500000,-14041,0.0323,0.73228,0.006254,-13940,366142
knapsack,inverse,50,0,penalty,floor,50,500000,-14041,0.0,inf,0.020387,-13740,
knapsack,uncorrelated,120,1,penalty,floor,120,1200000,-47897,0.0,inf,0.141938,-40905,
knapsack,inverse,50,1,penalty,ils,50,500000,-13084,0.0968,0.47783,0.004408,-12984,238913
knapsack,inverse,50,1,penalty,floor,50,500000,-13084,0.0,inf,0.025619,-12771,
knapsack,uncorrelated,120,0,penalty,floor,120,1200000,-46538,0.0,inf,0.117095,-41127,
knapsack,inverse,50,2,penalty,floor,50,500000,-12101,0.0,inf,0.031832,-11701,
knapsack,inverse,50,2,penalty,ils,50,500000,-12101,0.0323,0.95061,0.008197,-12002,475306
knapsack,uncorrelated,120,2,penalty,floor,120,1200000,-47685,0.0,inf,0.112849,-42267,
knapsack,uncorrelated,120,3,penalty,floor,120,1200000,-46068,0.0,inf,0.121882,-40379,
knapsack,inverse,50,3,penalty,ils,50,500000,-14015,0.0,inf,0.00264,-14008,
knapsack,inverse,50,3,penalty,floor,50,500000,-14015,0.0,inf,0.02025,-13710,
