family,tag,n,idx,decoder,method,dim,budget,f_opt,srate,nr,mean_gap,median_best,median_ftt
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,1.0,0.0011,0.0,1034976.9750000001,176
uflp_orlib,cap74,0,0,penalty,mga,16,160000,1034976.975,1.0,0.00118,0.0,1034976.9750000001,188
uflp_orlib,cap71,0,0,penalty,ils,16,160000,932615.75,1.0,0.00095,0.0,932615.75,152
uflp_orlib,cap72,0,0,penalty,ils,16,160000,977799.4,1.0,0.00103,0.0,977799.4,164
uflp_orlib,cap74,0,0,penalty,mbpso,16,160000,1034976.975,1.0,0.00108,0.0,1034976.9750000001,172
uflp_orlib,cap73,0,0,penalty,ils,16,160000,1010641.45,1.0,0.00106,0.0,1010641.45,169
uflp_orlib,cap74,0,0,penalty,mbde,16,160000,1034976.975,1.0,0.00113,0.0,1034976.9750000001,181
uflp_orlib,cap72,0,0,penalty,mga,16,160000,977799.4,1.0,0.00124,0.0,977799.4,199
uflp_orlib,cap71,0,0,penalty,mga,16,160000,932615.75,1.0,0.00121,0.0,932615.75,194
uflp_orlib,cap72,0,0,penalty,mbde,16,160000,977799.4,1.0,0.0014,0.0,977799.4,224
uflp_orlib,cap72,0,0,penalty,mbpso,16,160000,977799.4,1.0,0.00142,0.0,977799.4,227
uflp_orlib,cap71,0,0,penalty,mbde,16,160000,932615.75,1.0,0.00118,0.0,932615.75,189
uflp_orlib,cap71,0,0,penalty,mbpso,16,160000,932615.75,1.0,0.00125,0.0,932615.75,200
uflp_orlib,cap72,0,0,penalty,floor,16,160000,977799.4,1.0,0.00238,0.0,977799.4,381
uflp_orlib,cap74,0,0,penalty,ga,16,160000,1034976.975,1.0,0.00206,0.0,1034976.9750000001,330
uflp_orlib,cap71,0,0,penalty,floor,16,160000,932615.75,1.0,0.00272,0.0,932615.75,435
uflp_orlib,cap74,0,0,penalty,floor,16,160000,1034976.975,1.0,0.00281,0.0,1034976.9750000001,450
uflp_orlib,cap73,0,0,penalty,floor,16,160000,1010641.45,1.0,0.00295,0.0,1010641.45,472
uflp_orlib,cap72,0,0,penalty,ga,16,160000,977799.4,1.0,0.00206,0.0,977799.4,330
uflp_orlib,cap73,0,0,penalty,mbpso,16,160000,1010641.45,1.0,0.00172,0.0,1010641.45,276
uflp_orlib,cap71,0,0,penalty,ga,16,160000,932615.75,1.0,0.00225,0.0,932615.75,360
uflp_orlib,cap73,0,0,penalty,ga,16,160000,1010641.45,1.0,0.00225,0.0,1010641.45,360
uflp_orlib,cap102,0,0,penalty,ils,25,250000,854704.2,1.0,0.00169,0.0,854704.2000000001,423
uflp_orlib,cap102,0,0,penalty,mga,25,250000,854704.2,1.0,0.0017,0.0,854704.2000000001,425
uflp_orlib,cap102,0,0,penalty,mbpso,25,250000,854704.2,1.0,0.00197,0.0,854704.2000000001,492
uflp_orlib,cap102,0,0,penalty,mbde,25,250000,854704.2,1.0,0.00206,0.0,854704.2000000001,515
uflp_orlib,cap104,0,0,penalty,ils,25,250000,928941.75,1.0,0.00133,0.0,928941.7500000001,333
uflp_orlib,cap102,0,0,penalty,ga,25,250000,854704.2,1.0,0.00288,0.0,854704.2000000001,720
uflp_orlib,cap104,0,0,penalty,mga,25,250000,928941.75,1.0,0.00125,0.0,928941.7500000001,313
uflp_orlib,cap102,0,0,penalty,floor,25,250000,854704.2,1.0,0.00506,0.0,854704.2000000001,1266
uflp_orlib,cap73,0,0,penalty,mga,16,160000,1010641.45,1.0,0.00274,0.0,1010641.45,439
uflp_orlib,cap104,0,0,penalty,ga,25,250000,928941.75,1.0,0.00192,0.0,928941.7500000001,480
uflp_orlib,cap104,0,0,penalty,mbpso,25,250000,928941.75,1.0,0.0013,0.0,928941.7500000001,324
uflp_orlib,cap72,0,0,penalty,bpso,16,160000,977799.4,1.0,0.00713,0.0,977799.4,1140
uflp_orlib,cap104,0,0,penalty,mbde,25,250000,928941.75,1.0,0.0013,0.0,928941.7500000001,325
uflp_orlib,cap71,0,0,penalty,bpso,16,160000,932615.75,1.0,0.0045,0.0,932615.75,720
uflp_orlib,cap101,0,0,penalty,mbpso,25,250000,796648.4375,1.0,0.00303,0.0,796648.4375000001,757
uflp_orlib,cap104,0,0,penalty,floor,25,250000,928941.75,1.0,0.00649,0.0,928941.7500000001,1623
uflp_orlib,cap103,0,0,penalty,floor,25,250000,893782.1125,1.0,0.00706,0.0,893782.1125,1765
uflp_orlib,cap101,0,0,penalty,ga,25,250000,796648.4375,1.0,0.00288,0.0,796648.4375000001,720
uflp_orlib,cap101,0,0,penalty,floor,25,250000,796648.4375,1.0,0.00997,0.0,796648.4375000001,2492
uflp_orlib,cap73,0,0,penalty,bpso,16,160000,1010641.45,1.0,0.00788,0.0,1010641.45,1260
uflp_orlib,cap103,0,0,penalty,ga,25,250000,893782.1125,1.0,0.00468,0.0,893782.1125,1170
