family,tag,n,idx,decoder,method,dim,budget,f_opt,exact,seed,best,ftt,fes
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,0,1034976.9750000001,106,106
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,1,1034976.9750000001,187,187
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,2,1034976.9750000001,154,154
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,3,1034976.9750000001,117,117
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,4,1034976.9750000001,159,159
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,5,1034976.9750000001,160,160
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,6,1034976.9750000001,191,191
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,7,1034976.9750000001,174,174
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,8,1034976.9750000001,143,143
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,9,1034976.9750000001,217,217
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,10,1034976.9750000001,166,166
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,11,1034976.9750000001,187,187
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,12,1034976.9750000001,176,176
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,13,1034976.9750000001,186,186
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,14,1034976.9750000001,181,181
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,15,1034976.9750000001,130,130
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,16,1034976.9750000001,184,184
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,17,1034976.9750000001,153,153
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,18,1034976.9750000001,188,188
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,19,1034976.9750000001,200,200
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,20,1034976.9750000001,144,144
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,21,1034976.9750000001,168,168
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,22,1034976.9750000001,155,155
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,23,1034976.9750000001,197,197
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,24,1034976.9750000001,192,192
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,25,1034976.9750000001,188,188
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,26,1034976.9750000001,202,202
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,27,1034976.9750000001,168,168
uflp_orlib,cap74,0,0,penalty,ils,16,160000,1034976.975,True,28,1034976.9750000001,200,200
