family,tag,n,idx,decoder,method,dim,budget,f_opt,srate,nr,mean_gap,median_best,median_ftt
scp_orlib,scp42,1000,0,penalty,ils,1000,10000000,512,0.0,inf,0.052482,539,
scp_orlib,scp43,1000,0,penalty,ils,1000,10000000,516,0.0,inf,0.022256,528,
scp_orlib,scp41,1000,0,penalty,ils,1000,10000000,429,0.0,inf,0.030077,441,
scp_orlib,scp47,1000,0,penalty,ils,1000,10000000,430,0.0,inf,0.016429,434,
scp_orlib,scp44,1000,0,penalty,ils,1000,10000000,494,0.0,inf,0.036568,509,
scp_orlib,scp46,1000,0,penalty,ils,1000,10000000,560,0.0,inf,0.032258,579,
scp_orlib,scp48,1000,0,penalty,ils,1000,10000000,492,0.0,inf,0.021571,501,
scp_orlib,scp45,1000,0,penalty,ils,1000,10000000,512,0.0,inf,0.019783,521,
scp_orlib,scp41,1000,0,penalty,mga,1000,10000000,429,0.0,inf,5.641928,2852,
scp_orlib,scp43,1000,0,penalty,mga,1000,10000000,516,0.0,inf,4.147662,2669,
scp_orlib,scp42,1000,0,penalty,mga,1000,10000000,512,0.0,inf,4.53251,2898,
scp_orlib,scp48,1000,0,penalty,mga,1000,10000000,492,0.0,inf,4.608641,2736,
scp_orlib,scp46,1000,0,penalty,mga,1000,10000000,560,0.0,inf,4.02621,2818,
scp_orlib,scp45,1000,0,penalty,mga,1000,10000000,512,0.0,inf,4.426159,2740,
scp_orlib,scp44,1000,0,penalty,mga,1000,10000000,494,0.0,inf,4.58058,2734,
scp_orlib,scp47,1000,0,penalty,mga,1000,10000000,430,0.0,inf,5.167367,2644,
scp_orlib,scp42,1000,0,penalty,floor,1000,10000000,512,0.0,inf,0.704322,866,
scp_orlib,scp45,1000,0,penalty,floor,1000,10000000,512,0.0,inf,0.71434,883,
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,0.0,inf,0.949846,829,
scp_orlib,scp46,1000,0,penalty,floor,1000,10000000,560,0.0,inf,0.692684,953,
scp_orlib,scp43,1000,0,penalty,floor,1000,10000000,516,0.0,inf,0.680795,871,
scp_orlib,scp44,1000,0,penalty,floor,1000,10000000,494,0.0,inf,0.759828,878,
scp_orlib,scp47,1000,0,penalty,floor,1000,10000000,430,0.0,inf,0.952138,838,
scp_orlib,scp48,1000,0,penalty,floor,1000,10000000,492,0.0,inf,0.842775,908,
scp_orlib,scp49,1000,0,penalty,ils,1000,10000000,641,0.0,inf,0.040411,666,
scp_orlib,scp410,1000,0,penalty,ils,1000,10000000,514,0.0,inf,0.062194,545,
scp_orlib,scp62,1000,0,penalty,ils,1000,10000000,146,0.0,inf,0.066726,154,
scp_orlib,scp61,1000,0,penalty,ils,1000,10000000,138,0.0,inf,0.072698,146,
scp_orlib,scp49,1000,0,penalty,mga,1000,10000000,641,0.0,inf,3.609028,2996,
scp_orlib,scp410,1000,0,penalty,mga,1000,10000000,514,0.0,inf,4.625267,2846,
scp_orlib,scp61,1000,0,penalty,mga,1000,10000000,138,0.0,inf,8.680224,1345,
scp_orlib,scp62,1000,0,penalty,mga,1000,10000000,146,0.0,inf,8.332965,1379,
scp_orlib,scp64,1000,0,penalty,ils,1000,10000000,131,0.0645,0.80614,0.05639,136,8061365.0
scp_orlib,scp63,1000,0,penalty,ils,1000,10000000,145,0.0645,0.68802,0.043382,150,6880211.5
scp_orlib,scp410,1000,0,penalty,floor,1000,10000000,514,0.0,inf,0.934794,971,
scp_orlib,scp49,1000,0,penalty,floor,1000,10000000,641,0.0,inf,0.631121,1058,
scp_orlib,scp64,1000,0,penalty,mga,1000,10000000,131,0.0,inf,9.452844,1364,
scp_orlib,scp63,1000,0,penalty,mga,1000,10000000,145,0.0,inf,8.648721,1408,
scp_orlib,scp65,1000,0,penalty,ils,1000,10000000,161,0.0,inf,0.064115,171,
scp_orlib,scp62,1000,0,penalty,floor,1000,10000000,146,0.0,inf,0.537782,226,
scp_orlib,scp61,1000,0,penalty,floor,1000,10000000,138,0.0,inf,0.561711,215,
scp_orlib,scp65,1000,0,penalty,mga,1000,10000000,161,0.0,inf,7.652374,1391,
scp_orlib,scp63,1000,0,penalty,floor,1000,10000000,145,0.0,inf,0.633148,235,
scp_orlib,scp47,1000,0,penalty,ga,1000,10000000,430,0.0,inf,0.603001,672,
scp_orlib,scp64,1000,0,penalty,floor,1000,10000000,131,0.0,inf,0.650086,214,
scp_orlib,scp43,1000,0,penalty,ga,1000,10000000,516,0.0,inf,0.584584,806,
scp_orlib,scp48,1000,0,penalty,ga,1000,10000000,492,0.0,inf,0.603396,784,
scp_orlib,scp41,1000,0,penalty,ga,1000,10000000,429,0.0,inf,0.734115,740,
scp_orlib,scp45,1000,0,penalty,ga,1000,10000000,512,0.0,inf,0.488344,756,
scp_orlib,scp46,1000,0,penalty,ga,1000,10000000,560,0.0,inf,0.600173,887,
scp_orlib,scp42,1000,0,penalty,ga,1000,10000000,512,0.0,inf,0.570565,791,
scp_orlib,scp65,1000,0,penalty,floor,1000,10000000,161,0.0,inf,0.546383,250,
scp_orlib,scp44,1000,0,penalty,ga,1000,10000000,494,0.0,inf,0.477341,727,
scp_orlib,scp49,1000,0,penalty,ga,1000,10000000,641,0.0,inf,0.566101,1033,
scp_orlib,scp61,1000,0,penalty,ga,1000,10000000,138,0.0,inf,0.781206,236,
scp_orlib,scp410,1000,0,penalty,ga,1000,10000000,514,0.0,inf,0.732333,898,
scp_orlib,scp62,1000,0,penalty,ga,1000,10000000,146,0.0,inf,0.737958,249,
scp_orlib,scp64,1000,0,penalty,ga,1000,10000000,131,0.0,inf,0.848559,239,
scp_orlib,scp63,1000,0,penalty,ga,1000,10000000,145,0.0,inf,0.721691,235,
scp_orlib,scp65,1000,0,penalty,ga,1000,10000000,161,0.0,inf,0.774995,277,
