family,tag,n,idx,decoder,method,dim,budget,f_opt,exact,seed,best,ftt,fes
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,0,880,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,1,872,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,2,883,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,3,756,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,4,800,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,5,814,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,6,916,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,7,862,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,8,768,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,9,879,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,10,860,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,11,764,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,12,901,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,13,829,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,14,816,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,15,804,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,16,867,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,17,822,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,18,832,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,19,793,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,20,786,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,21,869,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,22,948,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,23,821,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,24,791,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,25,842,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,26,847,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,27,795,,10000000
scp_orlib,scp41,1000,0,penalty,floor,1000,10000000,429,True,28,803,,10000000
