family,tag,n,idx,decoder,method,dim,budget,f_opt,exact,seed,best,ftt,fes
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,0,-11046,10193,10193
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,1,-11046,5020,5020
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,2,-11046,4507,4507
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,3,-11046,13702,13702
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,4,-11046,12681,12681
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,5,-11046,7862,7862
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,6,-11046,7661,7661
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,7,-11046,1760,1760
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,8,-11046,1769,1769
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,9,-11046,4556,4556
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,10,-11046,45772,45772
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,11,-11046,3584,3584
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,12,-11046,9426,9426
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,13,-11046,27167,27167
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,14,-11046,747,747
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,15,-11046,25625,25625
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,16,-11046,1393,1393
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,17,-11046,14602,14602
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,18,-11046,4837,4837
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,19,-11046,2260,2260
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,20,-11046,12012,12012
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,21,-11046,14625,14625
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,22,-11046,28151,28151
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,23,-11046,4508,4508
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,24,-11046,1611,1611
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,25,-11046,3671,3671
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,26,-11046,6010,6010
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,27,-11046,3229,3229
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,28,-11046,2992,2992
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,29,-11046,6435,6435
knapsack,uncorrelated,30,1,penalty,ils,30,300000,-11046,True,30,-11046,12039,12039
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,0,-11556,12571,12571
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,1,-11556,34632,34632
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,2,-11556,106128,106128
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,3,-11556,48526,48526
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,4,-11556,3419,3419
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,5,-11556,48549,48549
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,6,-11556,10920,10920
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,7,-11556,14554,14554
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,8,-11556,116916,116916
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,9,-11556,13361,13361
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,10,-11556,110749,110749
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,11,-11556,31826,31826
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,12,-11556,31569,31569
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,13,-11556,5635,5635
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,14,-11556,44539,44539
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,15,-11556,27107,27107
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,16,-11556,7131,7131
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,17,-11556,26300,26300
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,18,-11556,20879,20879
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,19,-11556,5435,5435
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,20,-11556,3151,3151
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,21,-11556,7596,7596
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,22,-11556,32004,32004
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,23,-11556,18631,18631
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,24,-11556,2812,2812
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,25,-11556,5172,5172
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,26,-11556,18101,18101
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,27,-11556,7599,7599
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,28,-11556,10177,10177
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,29,-11556,10782,10782
knapsack,uncorrelated,30,0,penalty,ils,30,300000,-11556,True,30,-11556,19589,19589
knapsack,uncorrelated,30,3,penalty,ils,30,300000,-12061,True,0,-12061,27734,27734
knapsack,uncorrelated,30,3,penalty,ils,30,300000,-12061,True,1,-12061,197190,197190
knapsack,uncorrelated,30,3,penalty,ils,30,300000,-12061,True,2,-12061,39046,39046
knapsack,uncorrelated,30,3,penalty,ils,30,300000,-12061,True,3,-12061,32692,32692
knapsack,uncorrelated,30,3,penalty,ils,30,300000,-12061,True,4,-12061,47101,47101
