family,tag,n,idx,decoder,method,dim,budget,f_opt,exact,seed,best,ftt,fes
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,0,-11556,7091,7091
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,1,-11556,1273,1273
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,2,-11556,2279,2279
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,3,-11556,3126,3126
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,4,-11556,669,669
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,5,-11556,3246,3246
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,6,-11556,14486,14486
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,7,-11556,4768,4768
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,8,-11556,6614,6614
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,9,-11556,442,442
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,10,-11556,2991,2991
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,11,-11556,1209,1209
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,12,-11556,4935,4935
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,13,-11556,3792,3792
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,14,-11556,6151,6151
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,15,-11556,1125,1125
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,16,-11556,2580,2580
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,17,-11556,3492,3492
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,18,-11556,777,777
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,19,-11556,3370,3370
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,20,-11556,4528,4528
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,21,-11556,1335,1335
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,22,-11556,4415,4415
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,23,-11556,3632,3632
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,24,-11556,1191,1191
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,25,-11556,3073,3073
knapsack,uncorrelated,30,0,penalty,mga,30,300000,-11556,True,26,-11556,14893,14893
