family,tag,n,idx,decoder,method,dim,budget,f_opt,srate,nr,mean_gap,median_best,median_ftt
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,0.0968,0.13261,0.032343,-10708,39784
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,0.0645,0.81418,0.036698,-11627,244253.5
knapsack,uncorrelated,30,4,penalty,mpoa,30,300000,-11877,0.0,inf,0.024238,-11631,
knapsack,uncorrelated,30,0,penalty,mpoa,30,300000,-11556,0.0,inf,0.034662,-11174,
knapsack,uncorrelated,30,2,penalty,mpoa,30,300000,-12472,0.0,inf,0.036443,-12000,
knapsack,uncorrelated,30,4,penalty,poa,30,300000,-11877,0.0,inf,0.023803,-11589,
knapsack,uncorrelated,30,0,penalty,poa,30,300000,-11556,0.0,inf,0.043055,-11083,
knapsack,uncorrelated,30,2,penalty,poa,30,300000,-12472,0.0,inf,0.04003,-12000,
knapsack,uncorrelated,30,3,penalty,poa,30,300000,-12061,0.0,inf,0.039725,-11616,
knapsack,uncorrelated,30,1,penalty,poa,30,300000,-11046,0.0,inf,0.042304,-10556,
knapsack,uncorrelated,50,0,penalty,mpoa,50,500000,-18961,0.0,inf,0.081755,-17333,
knapsack,uncorrelated,50,3,penalty,mpoa,50,500000,-19627,0.0,inf,0.090949,-17900,
knapsack,uncorrelated,50,1,penalty,mpoa,50,500000,-21287,0.0,inf,0.086556,-19383,
knapsack,uncorrelated,50,4,penalty,mpoa,50,500000,-20974,0.0,inf,0.079942,-19363,
knapsack,uncorrelated,50,2,penalty,mpoa,50,500000,-18831,0.0,inf,0.095222,-17102,
knapsack,strongly,30,0,penalty,mpoa,30,300000,-8083,0.0323,0.65052,0.009937,-7980,195155
knapsack,strongly,30,0,penalty,poa,30,300000,-8083,0.0323,0.18419,0.008612,-7985,55258
knapsack,strongly,30,2,penalty,mpoa,30,300000,-8236,0.0645,0.35182,0.013227,-8123,105546.0
knapsack,strongly,30,1,penalty,mpoa,30,300000,-8991,0.0,inf,0.010175,-8889,
knapsack,uncorrelated,50,2,penalty,poa,50,500000,-18831,0.0,inf,0.096586,-17066,
