family,tag,n,idx,decoder,method,dim,budget,f_opt,exact,seed,best,ftt,fes
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,0,-10641,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,1,-10893,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,2,-10659,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,3,-10451,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,4,-10708,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,5,-10585,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,6,-10722,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,7,-11046,39784,39784
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,8,-10916,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,9,-10659,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,10,-10322,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,11,-10557,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,12,-10439,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,13,-10708,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,14,-11046,81092,81092
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,15,-10601,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,16,-10722,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,17,-10708,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,18,-10422,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,19,-10392,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,20,-10523,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,21,-10893,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,22,-11046,14671,14671
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,23,-10893,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,24,-10893,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,25,-10916,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,26,-10596,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,27,-10593,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,28,-10257,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,29,-10836,,300000
knapsack,uncorrelated,30,1,penalty,mpoa,30,300000,-11046,True,30,-10708,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,0,-11665,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,1,-11627,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,2,-11744,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,3,-11426,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,4,-11400,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,5,-12061,244957,244957
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,6,-11881,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,7,-11441,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,8,-11655,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,9,-11803,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,10,-11428,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,11,-11862,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,12,-11877,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,13,-11818,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,14,-11817,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,15,-11328,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,16,-11495,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,17,-11353,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,18,-11636,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,19,-12061,243550,243550
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,20,-11593,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,21,-11597,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,22,-11355,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,23,-11517,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,24,-11841,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,25,-11745,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,26,-11537,,300000
knapsack,uncorrelated,30,3,penalty,mpoa,30,300000,-12061,True,27,-11131,,300000
